pickup_datetime,passenger_count,trip_distance_mi,fare_amount,tip_amount,total_amount
2013-02-10T21:17,1,2.53,10.0,2.1,13.1
2013-02-10T21:20,1,1.46,7.5,2.0,10.5
2013-02-05T19:06,1,6.96,23.0,4.8,29.3
2013-02-08T09:55,1,3.78,19.5,1.0,21.0
2013-02-08T10:17,1,0.86,5.5,1.1,7.1
2013-02-08T10:04,1,5.0,17.5,4.38,22.38
2013-02-08T10:03,1,2.37,12.0,2.4,14.9
2013-02-05T19:41,1,0.82,5.5,1.0,8.0
2013-02-08T09:52,1,2.74,15.5,0.0,16.0
2013-02-10T22:11,1,3.27,11.5,2.4,14.9
2013-02-08T10:10,1,0.76,4.5,0.0,5.0
2013-02-08T10:13,1,0.63,4.5,0.9,5.9
2013-02-10T22:03,1,1.56,8.0,0.0,9.0
2013-02-10T22:10,1,3.03,12.0,2.0,15.0
2013-02-10T22:13,4,0.9,4.5,0.0,5.5
2013-02-10T22:06,1,2.89,11.0,0.0,12.0
2013-02-10T22:08,1,3.25,12.0,3.12,16.12
2013-02-08T09:57,1,2.35,12.0,1.0,13.5
2013-02-08T09:58,1,2.89,12.0,0.0,12.5
2013-02-10T22:16,1,0.79,6.0,0.0,7.0
2013-02-05T19:25,1,4.22,16.0,2.5,20.0
2013-02-05T19:28,1,4.91,18.0,3.8,23.3
2013-02-05T19:32,1,0.18,9.0,2.5,13.0
2013-02-10T22:06,6,2.78,12.0,3.12,16.12
2013-02-05T19:48,1,0.9,5.5,1.0,8.0
2013-02-05T19:50,1,1.28,6.0,1.0,8.5
2013-02-08T10:23,1,0.89,7.0,1.4,8.9
2013-02-05T19:46,6,1.94,9.0,1.0,11.5
2013-02-08T10:17,1,1.89,10.5,1.5,12.5
2013-02-05T19:47,3,0.6,5.5,1.0,8.0
2013-02-05T19:49,1,0.77,5.5,1.3,8.3
2013-02-10T22:35,5,7.4,21.5,5.5,28.0
2013-02-08T10:02,1,2.77,17.5,3.5,21.5
2013-02-10T22:33,2,3.66,14.5,3.0,18.5
2013-02-10T22:45,1,0.0,60.0,9.0,79.75
2013-02-05T19:45,5,1.17,6.5,0.0,8.0
2013-02-05T19:36,4,2.39,13.0,0.0,14.5
2013-02-10T22:27,5,6.59,20.0,4.1,25.1
2013-02-10T22:41,1,2.66,10.0,0.0,11.0
2013-02-08T10:20,2,1.64,9.5,1.5,11.5
2013-02-10T22:42,2,1.94,7.5,1.6,10.1
2013-02-08T10:27,1,1.06,6.0,1.5,8.0
2013-02-08T10:28,1,0.55,3.5,0.0,4.0
2013-02-08T10:28,2,0.94,5.0,0.0,5.5
2013-02-05T19:14,1,1.15,6.0,1.4,8.9
2013-02-05T19:13,1,2.26,11.0,2.4,14.9
2013-02-05T19:14,2,1.23,7.5,0.0,9.0
2013-02-05T19:22,3,1.09,6.0,1.4,8.9
2013-02-08T09:25,3,1.13,8.0,0.0,8.5
2013-02-08T09:22,1,3.19,14.5,2.9,17.9
2013-02-08T09:24,1,1.17,9.0,1.8,11.3
2013-02-08T09:25,1,1.34,9.5,1.9,11.9
2013-02-08T09:20,1,2.9,13.0,2.6,16.1
2013-02-08T09:27,2,1.85,8.5,1.7,10.7
2013-02-10T21:17,1,2.05,8.0,1.7,10.7
2013-02-08T09:22,1,0.81,6.0,1.0,7.5
2013-02-10T20:57,1,5.47,23.5,6.0,30.5
2013-02-05T19:12,1,2.6,12.5,0.0,14.0
2013-02-05T19:26,4,0.9,5.5,0.0,7.0
2013-02-08T08:53,6,2.13,10.5,0.0,11.0
2013-02-05T18:59,1,0.94,6.5,0.0,8.0
2013-02-08T08:37,1,6.48,22.0,2.0,24.5
2013-02-08T08:59,5,0.86,6.5,1.62,8.62
2013-02-08T08:44,2,3.33,17.0,3.4,20.9
2013-02-08T09:03,1,0.53,5.0,1.0,6.5
2013-02-08T08:50,1,6.24,19.0,3.8,23.3
2013-02-08T08:57,1,0.76,6.0,0.0,6.5
2013-02-10T20:13,2,6.8,23.5,5.0,29.5
2013-02-08T09:06,1,0.42,4.0,0.0,4.5
2013-02-05T19:41,1,0.98,5.0,0.0,6.5
2013-02-05T19:35,2,2.15,9.5,2.1,13.1
2013-02-05T19:37,1,1.66,8.5,1.9,11.9
2013-02-05T19:43,6,1.65,8.0,2.7,12.2
2013-02-05T19:24,2,8.63,26.0,6.75,34.25
2013-02-05T19:33,2,1.63,10.5,2.3,14.3
2013-02-05T19:36,1,2.05,9.0,2.0,12.5
2013-02-05T19:43,1,0.93,5.5,1.0,8.0
2013-02-05T19:33,1,3.03,13.0,2.8,17.3
2013-02-05T19:33,5,2.23,10.0,0.0,11.5
2013-02-05T19:39,5,1.82,8.5,1.9,11.9
2013-02-05T19:43,2,0.53,4.5,0.0,6.0
2013-02-05T19:28,5,1.1,6.0,0.0,7.5
2013-02-05T19:32,4,0.79,5.0,0.0,6.5
2013-02-10T21:23,3,5.94,20.0,4.1,25.1
2013-02-10T21:38,1,1.07,5.5,1.2,7.7
2013-02-08T08:38,5,5.39,25.0,5.0,30.5
2013-02-08T08:59,1,4.12,14.5,0.0,15.0
2013-02-10T20:31,5,3.06,12.0,2.5,15.5
2013-02-05T18:50,1,3.87,15.0,3.2,19.7
2013-02-10T20:37,1,0.83,5.0,0.0,6.0
2013-02-05T18:54,1,1.97,10.5,2.3,14.3
2013-02-05T19:05,5,0.46,4.0,0.0,5.5
2013-02-10T21:18,1,1.13,6.5,0.0,7.5
2013-02-10T21:14,1,2.99,11.5,1.0,13.5
2013-02-10T21:16,1,3.8,14.0,2.0,17.0
2013-02-08T09:16,5,3.07,16.5,3.3,20.3
2013-02-08T09:25,1,0.12,6.0,0.0,6.5
2013-02-08T07:36,4,23.15,96.78,0.0,107.03
2013-02-08T09:05,5,11.3,33.0,0.0,33.5
2013-02-08T09:19,1,3.44,14.5,3.62,18.62
2013-02-08T09:25,1,2.83,13.0,0.0,13.5
2013-02-08T09:35,1,0.0,52.0,10.4,62.9
2013-02-10T21:15,4,3.25,13.0,2.7,16.7
2013-02-10T21:27,1,1.39,6.5,1.0,8.5
2013-02-10T21:12,1,4.32,17.5,2.0,20.5
2013-02-08T08:19,1,19.14,52.0,2.0,59.3
2013-02-08T08:06,6,14.19,49.5,5.0,55.0
2013-02-10T20:36,1,1.32,7.0,1.0,9.0
2013-02-10T20:35,5,1.82,8.5,0.0,9.5
2013-02-05T19:04,2,0.65,5.0,1.2,7.7
2013-02-10T20:39,3,1.03,5.5,1.2,7.7
2013-02-10T20:27,1,4.64,16.5,0.0,17.5
2013-02-05T18:45,1,3.76,15.0,3.0,19.5
2013-02-05T18:55,2,1.87,8.5,0.0,10.0
2013-02-05T18:45,1,2.51,14.5,3.1,19.1
2013-02-05T19:03,1,0.85,6.0,1.4,8.9
2013-02-10T21:31,1,2.52,10.5,0.0,11.5
2013-02-08T09:55,1,1.22,8.0,1.0,9.5
2013-02-08T09:52,5,1.02,9.0,0.0,9.5
2013-02-08T10:03,1,0.59,4.5,1.0,6.0
2013-02-08T09:09,1,8.52,38.0,7.6,46.1
2013-02-08T09:59,1,0.81,5.0,0.0,5.5
2013-02-08T09:37,1,12.56,37.5,0.0,42.8
2013-02-08T09:57,5,0.93,6.5,0.0,7.0
2013-02-08T09:54,1,1.14,8.5,0.0,9.0
2013-02-08T09:59,1,0.63,5.5,1.65,7.65
2013-02-08T08:58,5,11.04,33.5,6.7,45.5
2013-02-05T19:13,3,0.66,4.5,0.0,6.0
2013-02-05T19:04,1,2.42,10.5,1.0,13.0
2013-02-08T09:18,3,0.9,6.0,1.0,7.5
2013-02-08T09:18,6,1.01,6.0,0.0,6.5
2013-02-08T09:14,6,1.26,9.0,1.0,10.5
2013-02-05T19:06,1,0.82,8.0,0.0,9.5
2013-02-05T19:10,6,1.21,6.5,1.0,9.0
2013-02-08T10:13,1,7.35,22.5,0.0,23.0
2013-02-08T10:22,1,1.93,9.0,1.0,10.5
2013-02-08T10:23,1,1.52,7.5,0.0,8.0
2013-02-05T19:44,3,1.38,7.5,0.0,9.0
2013-02-05T19:42,1,1.44,8.0,0.0,9.5
2013-02-05T19:46,1,1.03,6.5,0.0,8.0
2013-02-05T19:45,1,3.8,13.0,3.5,18.0
2013-02-08T09:07,6,1.58,11.5,0.0,12.0
2013-02-08T08:59,1,4.42,19.0,3.8,23.3
2013-02-05T19:10,5,1.33,6.0,1.75,9.25
2013-02-05T19:13,2,0.38,4.0,0.0,5.5
2013-02-05T19:03,2,4.98,16.0,3.0,20.5
2013-02-08T08:54,1,9.5,30.5,7.16,42.96
2013-02-08T09:05,1,2.19,13.5,0.0,14.0
2013-02-08T09:15,5,0.8,7.5,0.0,8.0
2013-02-05T19:07,1,1.29,7.5,0.0,9.0
2013-02-05T19:01,1,1.77,11.5,1.0,14.0
2013-02-05T19:12,1,2.29,11.0,0.0,12.5
2013-02-05T19:10,1,1.72,7.5,2.12,11.12
2013-02-10T20:44,1,9.64,28.5,5.8,40.1
2013-02-08T09:14,1,1.08,7.5,1.5,9.5
2013-02-08T09:20,6,0.85,5.5,0.0,6.0
2013-02-05T19:10,1,0.98,7.0,1.6,10.1
2013-02-10T20:53,1,0.76,5.5,0.0,6.5
2013-02-10T20:45,1,3.4,14.0,0.0,15.0
2013-02-08T10:23,5,1.09,7.5,0.0,8.0
2013-02-10T22:39,6,1.05,7.0,0.0,8.0
